,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.01135,0.03491,0.01905,0.01655,0.01047
b,0.01402,0.00125,0.00515,0.00375,0.00091
c,0.01422,0.00271,0.00605,0.00631,0.00196
d,0.01057,0.0013,0.00602,0.00727,0.01269
e,0.00467,0.0251,0.0136,0.03589,0.02345
f,0.00921,0.00037,0.00275,0.00359,0.00126
g,0.00984,0.00116,0.00561,0.00652,0.00221
h,0.00754,0.00842,0.00185,0.00362,0.00568
i,0.00255,0.02132,0.01621,0.01357,0.00432
j,0.00312,0.00017,0.00071,0.00045,0.00005
k,0.0058,0.00147,0.0042,0.00776,0.004
l,0.00888,0.01077,0.01308,0.01189,0.00733
m,0.01069,0.0029,0.00788,0.0062,0.00281
n,0.00501,0.00532,0.01484,0.01215,0.00818
o,0.00404,0.03233,0.0153,0.01077,0.006
p,0.01323,0.00356,0.0056,0.00645,0.00227
q,0.0012,0.00023,0.0002,0.00003,0.00006
r,0.00969,0.0145,0.01848,0.01106,0.01038
s,0.02412,0.00143,0.00822,0.00796,0.06105
t,0.01257,0.00369,0.0095,0.01385,0.01121
u,0.00292,0.01829,0.01029,0.00619,0.00103
v,0.00373,0.0008,0.0037,0.00239,0.00006
w,0.00636,0.00251,0.00418,0.00197,0.00099
x,0.00025,0.00088,0.00205,0.00019,0.00108
y,0.00279,0.00416,0.00329,0.00167,0.02007
z,0.00162,0.00045,0.00219,0.00194,0.00049
