,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.01119,0.03676,0.01743,0.0171,0.01156
b,0.01381,0.00122,0.00522,0.00411,0.0009
c,0.01359,0.00255,0.00631,0.00486,0.0018
d,0.01077,0.0012,0.00591,0.00754,0.01323
e,0.00434,0.02601,0.01323,0.0377,0.02061
f,0.00867,0.0003,0.00287,0.00372,0.00105
g,0.00982,0.0012,0.00557,0.00651,0.00191
h,0.00788,0.00754,0.00208,0.00388,0.00434
i,0.00246,0.02216,0.01473,0.01355,0.00505
j,0.00342,0.00017,0.00081,0.00051,0.00006
k,0.00668,0.0016,0.00488,0.00841,0.00274
l,0.00918,0.00935,0.01381,0.01143,0.00601
m,0.011,0.00282,0.00845,0.00627,0.00263
n,0.0054,0.00484,0.01548,0.01137,0.00751
o,0.00415,0.0341,0.01406,0.01062,0.00621
p,0.01346,0.00319,0.00574,0.00691,0.00171
q,0.00103,0.00019,0.00023,0.00004,0.00008
r,0.00982,0.01263,0.01942,0.01064,0.00865
s,0.0225,0.00145,0.0085,0.00647,0.0736
t,0.0125,0.00304,0.00948,0.01424,0.0089
u,0.00293,0.01879,0.00942,0.00599,0.00124
v,0.00373,0.00069,0.00358,0.00206,0.00008
w,0.00619,0.00223,0.0046,0.00193,0.00088
x,0.0003,0.00081,0.00227,0.00017,0.00116
y,0.00328,0.00465,0.00345,0.00197,0.01758
z,0.00191,0.00051,0.00246,0.00199,0.00053
