,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.01213,0.02633,0.0265,0.01403,0.00546
b,0.01498,0.00139,0.00485,0.00208,0.00095
c,0.01715,0.00346,0.00485,0.01299,0.00269
d,0.00961,0.00173,0.0065,0.00598,0.01022
e,0.00624,0.02087,0.01533,0.02754,0.03655
f,0.01169,0.00069,0.00217,0.00303,0.00225
g,0.00996,0.00095,0.0058,0.00658,0.00355
h,0.00598,0.01247,0.00078,0.00243,0.01187
i,0.00294,0.01741,0.02304,0.01369,0.00095
j,0.00173,0.00017,0.00026,0.00017,0
k,0.00173,0.00087,0.00104,0.00476,0.00979
l,0.00754,0.01732,0.0097,0.01403,0.01343
m,0.00927,0.00329,0.00528,0.00589,0.00364
n,0.0032,0.00754,0.01187,0.01576,0.01126
o,0.00355,0.02417,0.02105,0.01143,0.00502
p,0.01221,0.00528,0.00494,0.00433,0.00485
q,0.00199,0.00043,0.00009,0,0
r,0.00909,0.02313,0.01412,0.01299,0.01836
s,0.03162,0.00139,0.00693,0.01481,0.00312
t,0.01291,0.00667,0.00961,0.01204,0.02191
u,0.00286,0.01602,0.01429,0.0071,0.00009
v,0.00372,0.0013,0.00424,0.0039,0
w,0.0071,0.00381,0.00225,0.00217,0.00147
x,0,0.00121,0.00104,0.00026,0.00069
y,0.00052,0.00191,0.00251,0.00026,0.03153
z,0.00026,0.00017,0.00095,0.00173,0.00035
